name,album,artist,release_date,length,mode,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
白日 - 10 years ver.,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,267133,1,37,0.474,0.00864,0.715,0.0,0.08,-5.899,0.0403,75.014,4,0.413
ブリキ,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,316413,1,30,0.627,0.436,0.655,3.33e-06,0.122,-6.632,0.0515,155.936,4,0.561
カイコ,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,362386,1,39,0.588,0.213,0.654,0.0,0.0814,-6.541,0.0349,135.957,4,0.429
あいとわ,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,330333,1,31,0.521,0.754,0.306,1.33e-06,0.125,-7.677,0.0301,146.058,4,0.195
春灯,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,285866,1,28,0.418,0.814,0.131,7.46e-06,0.29,-12.461,0.0334,136.729,4,0.342
空窓,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,252706,1,36,0.714,0.22,0.697,2.71e-05,0.103,-8.914,0.0321,90.027,4,0.533
夜の淵,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,239973,1,29,0.554,0.871,0.222,0.000693,0.277,-13.004,0.0345,147.657,4,0.229
世界の果て,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,191053,0,26,0.53,0.579,0.378,9.12e-06,0.321,-8.131,0.0333,129.705,4,0.151
かくれんぼ,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,375680,1,37,0.523,0.689,0.413,0.0,0.35,-6.807,0.036,148.04,4,0.275
あいたい,2+0+2+1+3+1+1= 10 years 10 songs,RADWIMPS,2021-03-11,309000,1,39,0.503,0.681,0.117,0.0,0.346,-9.519,0.0387,78.068,4,0.365
祝祭 - Movie edit,天気の子,RADWIMPS,2019-07-19,156160,1,36,0.511,0.142,0.923,0.0,0.172,-2.554,0.0867,152.034,4,0.765
